POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
1,495.81,1257.13,2087.11,-1356.16,-11178.88,635.36,5297.3,-2186.68,45.48,0.0,-2762.32,-2141.2,-4903.53

Receptor Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
1,493.38,1246.6,2083.37,-1329.29,-11170.16,629.92,5306.89,-2196.7,45.9,0.0,-2739.3,-2150.8,-4890.09

Ligand Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
1,2.43,10.53,3.74,-1.04,-2.05,5.44,-9.59,-8.12,1.73,0.0,9.46,-6.39,3.07

Delta Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
1,0.0,-0.0,-0.0,-25.83,-6.66,-0.0,-0.0,18.13,-2.15,0.0,-32.49,15.98,-16.51


